0, 1e+10, 0
0, 1e+10, 1
7.51619, 1.21196e+06, 0
7.91885, 1.10403e+06, 1
16.9114, 572840, 0
17.1799, 463050, 1
26.9778, 328271, 0
27.3804, 261075, 1
37.4467, 218933, 0
37.8494, 186987, 1
47.9157, 144243, 1
47.9157, 161171, 0
58.2505, 127573, 1
58.5189, 121464, 0
68.8537, 103042, 1
68.9879, 105365, 0
79.3227, 94811.8, 1
79.4569, 92354.4, 0
89.9259, 89084.3, 1
90.1943, 86778.6, 0
100.261, 82929.1, 0
100.395, 84058.6, 1
110.864, 79347.1, 1
110.864, 80323, 0
121.333, 76189.1, 1
121.333, 77560.3, 0
131.802, 75198.1, 0
131.936, 73971.1, 1
142.405, 72334.7, 1
142.405, 73046.4, 0
152.606, 70976.2, 1
152.606, 71120.3, 0
162.672, 70388.3, 1
162.806, 70127.5, 0
172.738, 69585.3, 1
172.872, 68879.8, 0
182.939, 68907.2, 1
183.073, 68128.9, 0
193.005, 67889.8, 1
193.139, 67438.4, 0
203.071, 67169.3, 1
203.206, 66785, 0
213.138, 66460.1, 1
213.406, 66208.2, 0
223.204, 65993.8, 1
223.473, 65711.8, 0
233.405, 65479.5, 1
233.539, 65215.7, 0
243.337, 65083, 1
243.605, 64790.4, 0
253.537, 64645.9, 1
253.672, 64378, 0
263.604, 64326.9, 1
263.738, 64097.3, 0
273.67, 63996.3, 1
273.804, 63869.1, 0
283.736, 63750.1, 1
283.87, 63638.2, 0
293.803, 63487.9, 1
293.937, 63373.3, 0
303.869, 63287.5, 1
304.003, 63129.9, 0
